League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2024-9-20;11;5;26;3;Pre-Season;1;0;0;24305
0;2024-9-20;27;5;12;3;Pre-Season;1;0;0;24307
0;2024-9-20;6;1;13;3;Pre-Season;1;0;0;24303
0;2024-9-20;8;0;29;4;Pre-Season;1;0;0;24309
0;2024-9-20;20;6;17;3;Pre-Season;1;0;0;24315
0;2024-9-20;24;5;25;3;Pre-Season;1;0;0;24317
0;2024-9-20;21;1;3;0;Pre-Season;1;0;0;24313
0;2024-9-20;30;3;9;4;Pre-Season;1;1;1;24311
0;2024-9-20;22;5;1;6;Pre-Season;1;1;0;24289
0;2024-9-20;4;3;7;4;Pre-Season;1;1;0;24291
0;2024-9-20;14;5;28;2;Pre-Season;1;0;0;24293
0;2024-9-20;18;6;23;1;Pre-Season;1;0;0;24301
0;2024-9-20;15;4;5;3;Pre-Season;1;0;0;24297
0;2024-9-20;0;6;10;0;Pre-Season;1;0;0;24299
0;2024-9-20;16;2;2;4;Pre-Season;1;0;0;24295
0;2024-9-22;10;6;0;1;Pre-Season;1;0;0;24337
0;2024-9-22;25;2;8;0;Pre-Season;1;0;0;24335
0;2024-9-22;17;0;22;5;Pre-Season;1;0;0;24339
0;2024-9-22;27;3;30;6;Pre-Season;1;0;0;24343
0;2024-9-22;1;1;21;4;Pre-Season;1;0;0;24345
0;2024-9-22;5;4;15;6;Pre-Season;1;0;0;24347
0;2024-9-22;9;1;11;5;Pre-Season;1;0;0;24333
0;2024-9-22;2;5;20;1;Pre-Season;1;0;0;24341
0;2024-9-22;13;2;19;3;Pre-Season;1;0;0;24319
0;2024-9-22;23;5;26;1;Pre-Season;1;0;0;24321
0;2024-9-22;7;3;14;2;Pre-Season;1;0;0;24323
0;2024-9-22;12;4;24;3;Pre-Season;1;0;0;24331
0;2024-9-22;28;4;18;2;Pre-Season;1;0;0;24327
0;2024-9-22;29;1;16;7;Pre-Season;1;0;0;24329
0;2024-9-22;4;4;6;3;Pre-Season;1;0;0;24325
0;2024-9-23;6;3;14;4;Pre-Season;1;1;0;24369
0;2024-9-23;18;3;19;2;Pre-Season;1;0;0;24365
0;2024-9-23;1;1;27;2;Pre-Season;1;1;0;24371
0;2024-9-23;20;1;28;4;Pre-Season;1;0;0;24373
0;2024-9-23;22;3;23;4;Pre-Season;1;1;0;24375
0;2024-9-23;30;2;0;0;Pre-Season;1;0;0;24377
0;2024-9-23;29;5;2;1;Pre-Season;1;0;0;24363
0;2024-9-23;24;0;4;2;Pre-Season;1;0;0;24367
0;2024-9-23;8;4;13;3;Pre-Season;1;1;0;24349
0;2024-9-23;3;1;26;5;Pre-Season;1;0;0;24351
0;2024-9-23;15;5;21;0;Pre-Season;1;0;0;24353
0;2024-9-23;16;6;9;5;Pre-Season;1;0;0;24361
0;2024-9-23;7;6;5;2;Pre-Season;1;0;0;24359
0;2024-9-23;11;3;12;0;Pre-Season;1;0;0;24355
0;2024-9-23;17;1;25;2;Pre-Season;1;1;1;24357
0;2024-9-25;7;4;8;1;Pre-Season;1;0;0;24395
0;2024-9-25;2;4;13;2;Pre-Season;1;0;0;24399
0;2024-9-25;19;2;29;5;Pre-Season;1;0;0;24397
0;2024-9-25;28;3;18;4;Pre-Season;1;0;0;24401
0;2024-9-25;6;3;30;2;Pre-Season;1;0;0;24405
0;2024-9-25;5;3;16;7;Pre-Season;1;0;0;24407
0;2024-9-25;21;2;10;3;Pre-Season;1;1;1;24403
0;2024-9-25;4;5;9;4;Pre-Season;1;1;0;24393
0;2024-9-25;14;4;3;2;Pre-Season;1;0;0;24379
0;2024-9-25;1;2;22;3;Pre-Season;1;0;0;24383
0;2024-9-25;23;0;24;2;Pre-Season;1;0;0;24385
0;2024-9-25;0;2;12;4;Pre-Season;1;0;0;24381
0;2024-9-25;15;3;17;4;Pre-Season;1;0;0;24391
0;2024-9-25;20;2;11;3;Pre-Season;1;0;0;24387
0;2024-9-25;27;4;25;3;Pre-Season;1;0;0;24389
0;2024-9-26;18;3;17;4;Pre-Season;1;1;1;24431
0;2024-9-26;23;5;21;3;Pre-Season;1;0;0;24429
0;2024-9-26;25;3;2;2;Pre-Season;1;1;1;24427
0;2024-9-26;12;5;0;3;Pre-Season;1;0;0;24437
0;2024-9-26;11;4;19;1;Pre-Season;1;0;0;24435
0;2024-9-26;4;3;7;6;Pre-Season;1;0;0;24425
0;2024-9-26;1;2;6;3;Pre-Season;1;0;0;24433
0;2024-9-26;9;3;20;1;Pre-Season;1;0;0;24423
0;2024-9-26;3;0;10;3;Pre-Season;1;0;0;24409
0;2024-9-26;24;3;27;2;Pre-Season;1;0;0;24413
0;2024-9-26;8;3;22;6;Pre-Season;1;0;0;24415
0;2024-9-26;26;3;15;2;Pre-Season;1;0;0;24411
0;2024-9-26;29;2;13;3;Pre-Season;1;0;0;24421
0;2024-9-26;16;5;30;2;Pre-Season;1;0;0;24417
0;2024-9-26;5;5;28;2;Pre-Season;1;0;0;24419
0;2024-9-28;19;4;13;2;Pre-Season;1;0;0;24461
0;2024-9-28;15;1;7;2;Pre-Season;1;0;0;24459
0;2024-9-28;27;7;20;0;Pre-Season;1;0;0;24457
0;2024-9-28;29;4;12;2;Pre-Season;1;0;0;24467
0;2024-9-28;1;4;23;3;Pre-Season;1;0;0;24465
0;2024-9-28;28;3;21;2;Pre-Season;1;0;0;24455
0;2024-9-28;30;4;9;2;Pre-Season;1;0;0;24463
0;2024-9-28;4;2;16;5;Pre-Season;1;0;0;24447
0;2024-9-28;3;2;24;5;Pre-Season;1;0;0;24439
0;2024-9-28;5;3;14;6;Pre-Season;1;0;0;24441
0;2024-9-28;17;4;25;1;Pre-Season;1;0;0;24443
0;2024-9-28;6;5;2;3;Pre-Season;1;0;0;24453
0;2024-9-28;22;4;18;3;Pre-Season;1;1;1;24449
0;2024-9-28;10;2;8;4;Pre-Season;1;0;0;24451
0;2024-9-28;11;0;26;4;Pre-Season;1;0;0;24445
0;2024-9-29;0;6;17;3;Pre-Season;1;0;0;24487
0;2024-9-29;2;6;15;2;Pre-Season;1;0;0;24485
0;2024-9-29;16;5;12;1;Pre-Season;1;0;0;24489
0;2024-9-29;24;7;28;8;Pre-Season;1;1;0;24491
0;2024-9-29;25;2;5;1;Pre-Season;1;0;0;24493
0;2024-9-29;4;5;6;2;Pre-Season;1;0;0;24495
0;2024-9-29;21;3;1;1;Pre-Season;1;0;0;24483
0;2024-9-29;27;1;30;2;Pre-Season;1;1;0;24481
0;2024-9-29;14;3;19;5;Pre-Season;1;0;0;24469
0;2024-9-29;20;4;18;3;Pre-Season;1;0;0;24471
0;2024-9-29;8;5;22;3;Pre-Season;1;0;0;24497
0;2024-9-29;13;2;29;4;Pre-Season;1;0;0;24473
0;2024-9-29;23;4;9;6;Pre-Season;1;0;0;24477
0;2024-9-29;26;3;10;6;Pre-Season;1;0;0;24479
0;2024-9-29;3;0;11;4;Pre-Season;1;0;0;24475
0;2024-10-4;7;1;24;5;Regular Season;1;0;0;23029
0;2024-10-4;6;4;8;0;Regular Season;1;0;0;23082
0;2024-10-4;25;6;13;1;Regular Season;1;0;0;23103
0;2024-10-4;5;4;28;3;Regular Season;1;1;1;23020
0;2024-10-4;27;3;22;2;Regular Season;1;0;0;23015
0;2024-10-4;26;4;29;10;Regular Season;1;0;0;23016
0;2024-10-4;30;4;21;2;Regular Season;1;0;0;23019
0;2024-10-4;1;8;2;6;Regular Season;1;0;0;23079
0;2024-10-4;16;5;12;2;Regular Season;1;0;0;23031
0;2024-10-4;0;5;20;2;Regular Season;1;0;0;23024
0;2024-10-4;4;3;9;4;Regular Season;1;1;0;23017
0;2024-10-4;23;1;15;4;Regular Season;1;0;0;23038
0;2024-10-4;3;2;18;0;Regular Season;1;0;0;23095
0;2024-10-5;23;4;21;1;Regular Season;1;0;0;23057
0;2024-10-5;13;4;30;3;Regular Season;1;0;0;23021
0;2024-10-5;6;4;5;2;Regular Season;1;0;0;23026
0;2024-10-5;1;3;11;5;Regular Season;1;0;0;23028
0;2024-10-5;24;2;10;5;Regular Season;1;0;0;23064
0;2024-10-5;14;5;0;0;Regular Season;1;0;0;23096
0;2024-10-5;19;4;27;2;Regular Season;1;0;0;23027
0;2024-10-5;25;3;15;2;Regular Season;1;0;0;23046
0;2024-10-5;12;5;17;6;Regular Season;1;1;1;23034
0;2024-10-5;9;3;18;2;Regular Season;1;0;0;23039
0;2024-10-5;7;3;8;2;Regular Season;1;0;0;23037
0;2024-10-5;2;4;22;2;Regular Season;1;0;0;23018
0;2024-10-6;19;1;14;4;Regular Season;1;0;0;23092
0;2024-10-6;20;3;16;4;Regular Season;1;1;0;23025
0;2024-10-6;10;3;26;2;Regular Season;1;0;0;23073
0;2024-10-6;3;3;4;2;Regular Season;1;1;1;23045
0;2024-10-6;29;6;11;5;Regular Season;1;0;0;23022
0;2024-10-7;23;2;13;5;Regular Season;1;0;0;24273
0;2024-10-7;3;6;7;3;Regular Season;1;0;0;23507
0;2024-10-7;2;6;26;2;Regular Season;1;0;0;23186
0;2024-10-7;9;4;15;2;Regular Season;1;0;0;23036
0;2024-10-7;1;3;0;4;Regular Season;1;0;0;23076
0;2024-10-7;30;4;20;3;Regular Season;1;0;0;23053
0;2024-10-7;5;3;17;1;Regular Season;1;0;0;23032
0;2024-10-7;28;6;16;3;Regular Season;1;0;0;23178
0;2024-10-8;13;6;30;3;Regular Season;1;0;0;23048
0;2024-10-8;15;1;11;4;Regular Season;1;0;0;23035
0;2024-10-8;7;4;4;3;Regular Season;1;1;1;23040
0;2024-10-8;27;5;0;4;Regular Season;1;0;0;23049
0;2024-10-8;6;4;17;5;Regular Season;1;1;1;24228
0;2024-10-8;23;3;25;4;Regular Season;1;0;0;23055
0;2024-10-8;19;5;5;3;Regular Season;1;0;0;24202
0;2024-10-8;29;4;12;5;Regular Season;1;0;0;23023
0;2024-10-8;8;3;28;6;Regular Season;1;0;0;23083
0;2024-10-8;10;2;21;3;Regular Season;1;1;1;23068
0;2024-10-8;2;3;22;1;Regular Season;1;0;0;24195
0;2024-10-8;14;2;18;5;Regular Season;1;0;0;23110
0;2024-10-9;1;4;20;3;Regular Season;1;0;0;23042
0;2024-10-10;5;3;9;9;Regular Season;1;0;0;23052
0;2024-10-10;19;1;10;6;Regular Season;1;0;0;23099
0;2024-10-10;27;5;25;1;Regular Season;1;0;0;23059
0;2024-10-10;8;0;15;3;Regular Season;1;0;0;23050
0;2024-10-10;4;2;23;1;Regular Season;1;0;0;23054
0;2024-10-10;6;4;22;5;Regular Season;1;1;1;23281
0;2024-10-10;2;2;11;4;Regular Season;1;0;0;23062
0;2024-10-10;0;7;30;4;Regular Season;1;0;0;24215
0;2024-10-10;16;6;24;2;Regular Season;1;0;0;23043
0;2024-10-10;13;6;7;3;Regular Season;1;0;0;23044
0;2024-10-10;18;4;1;3;Regular Season;1;1;1;24214
0;2024-10-10;3;1;29;4;Regular Season;1;0;0;23041
0;2024-10-11;24;2;30;4;Regular Season;1;0;0;23065
0;2024-10-11;8;5;12;2;Regular Season;1;0;0;23069
0;2024-10-11;21;3;29;5;Regular Season;1;0;0;23033
0;2024-10-11;5;2;4;5;Regular Season;1;0;0;23056
0;2024-10-11;27;3;19;5;Regular Season;1;0;0;23051
0;2024-10-11;23;3;18;5;Regular Season;1;0;0;23061
0;2024-10-11;2;5;25;2;Regular Season;1;0;0;23030
0;2024-10-11;22;0;13;3;Regular Season;1;0;0;23093
0;2024-10-11;6;4;3;1;Regular Season;1;0;0;23153
0;2024-10-11;14;2;16;4;Regular Season;1;0;0;23116
0;2024-10-11;26;1;10;3;Regular Season;1;0;0;23183
0;2024-10-11;11;2;9;1;Regular Season;1;0;0;23084
0;2024-10-12;17;2;21;6;Regular Season;1;0;0;23070
0;2024-10-12;1;3;7;2;Regular Season;1;0;0;23102
0;2024-10-13;24;2;17;5;Regular Season;1;0;0;23080
0;2024-10-13;11;5;27;2;Regular Season;1;0;0;24219
0;2024-10-13;19;5;12;1;Regular Season;1;0;0;23148
0;2024-10-13;15;4;8;2;Regular Season;1;0;0;24237
0;2024-10-13;14;3;22;1;Regular Season;1;0;0;23493
0;2024-10-13;26;4;20;3;Regular Season;1;0;0;23134
0;2024-10-13;28;2;0;3;Regular Season;1;1;1;23127
0;2024-10-13;6;1;3;8;Regular Season;1;0;0;23154
0;2024-10-14;29;5;21;4;Regular Season;1;0;0;23047
0;2024-10-14;23;3;18;2;Regular Season;1;0;0;23087
0;2024-10-14;7;5;6;4;Regular Season;1;1;0;24236
0;2024-10-14;16;2;4;3;Regular Season;1;0;0;23066
0;2024-10-14;2;3;9;4;Regular Season;1;0;0;24244
0;2024-10-15;4;3;20;5;Regular Season;1;0;0;23075
0;2024-10-15;11;7;22;4;Regular Season;1;0;0;23621
0;2024-10-15;12;4;8;3;Regular Season;1;0;0;23177
0;2024-10-15;9;5;28;6;Regular Season;1;1;0;23105
0;2024-10-15;5;2;3;4;Regular Season;1;0;0;23072
0;2024-10-15;30;2;16;4;Regular Season;1;0;0;23071
0;2024-10-15;25;4;7;3;Regular Season;1;0;0;23067
0;2024-10-15;18;4;2;5;Regular Season;1;0;0;23270
0;2024-10-15;14;4;27;1;Regular Season;1;0;0;23112
0;2024-10-15;17;3;24;7;Regular Season;1;0;0;23194
0;2024-10-15;29;4;13;2;Regular Season;1;0;0;23085
0;2024-10-15;10;4;1;1;Regular Season;1;0;0;23432
0;2024-10-15;15;3;0;0;Regular Season;1;0;0;23139
0;2024-10-15;23;5;19;4;Regular Season;1;0;0;23107
0;2024-10-16;13;2;30;5;Regular Season;1;0;0;23077
0;2024-10-16;26;6;19;4;Regular Season;1;0;0;23150
0;2024-10-17;0;2;22;1;Regular Season;1;1;1;23140
0;2024-10-17;9;1;29;4;Regular Season;1;0;0;23088
0;2024-10-17;21;3;26;2;Regular Season;1;0;0;23081
0;2024-10-17;2;3;3;4;Regular Season;1;0;0;23158
0;2024-10-17;23;2;4;5;Regular Season;1;0;0;23078
0;2024-10-17;28;3;5;2;Regular Season;1;0;0;23058
0;2024-10-17;10;2;11;0;Regular Season;1;0;0;23257
0;2024-10-17;14;4;17;1;Regular Season;1;0;0;23142
0;2024-10-17;16;4;1;3;Regular Season;1;0;0;23111
0;2024-10-17;27;3;15;2;Regular Season;1;0;0;23063
0;2024-10-17;12;2;7;6;Regular Season;1;0;0;23114
0;2024-10-17;20;4;24;3;Regular Season;1;0;0;23211
0;2024-10-18;20;4;24;2;Regular Season;1;0;0;23169
0;2024-10-18;17;1;13;3;Regular Season;1;0;0;23086
0;2024-10-18;3;3;10;2;Regular Season;1;0;0;23209
0;2024-10-18;11;3;0;0;Regular Season;1;0;0;23182
0;2024-10-18;15;2;2;3;Regular Season;1;0;0;23143
0;2024-10-18;1;5;19;2;Regular Season;1;0;0;23145
0;2024-10-18;28;8;21;0;Regular Season;1;0;0;23074
0;2024-10-18;5;7;18;3;Regular Season;1;0;0;23060
0;2024-10-18;30;3;25;1;Regular Season;1;0;0;23100
0;2024-10-19;27;2;6;5;Regular Season;1;0;0;23124
0;2024-10-19;25;3;12;6;Regular Season;1;0;0;23122
0;2024-10-19;16;5;13;3;Regular Season;1;0;0;24280
0;2024-10-19;14;3;9;5;Regular Season;1;0;0;23113
0;2024-10-19;22;6;19;7;Regular Season;1;1;1;23988
0;2024-10-19;8;2;7;7;Regular Season;1;0;0;23091
0;2024-10-20;6;6;1;3;Regular Season;1;0;0;24065
0;2024-10-20;26;5;8;2;Regular Season;1;0;0;23205
0;2024-10-20;3;4;29;3;Regular Season;1;0;0;24181
0;2024-10-20;20;3;18;4;Regular Season;1;0;0;24247
0;2024-10-21;30;7;17;1;Regular Season;1;0;0;23094
0;2024-10-21;22;1;5;4;Regular Season;1;0;0;23089
0;2024-10-21;27;5;13;2;Regular Season;1;0;0;23104
0;2024-10-21;9;2;24;3;Regular Season;1;0;0;23163
0;2024-10-21;25;2;15;6;Regular Season;1;0;0;23129
