Game Id;Period;Time;Player;TeamId;Penalty;Minutes
23029;1;704;638;24;Elbowing;2
23029;1;720;10;7;Hooking;2
23029;1;878;638;24;Tripping;2
23029;1;1027;275;24;Roughing;2
23029;2;846;1007;7;Tripping;2
23029;2;1027;1293;7;Boarding;2
23029;2;1191;1427;7;Interference;2
23029;3;19;292;7;Tripping;2
23029;3;343;1447;24;Hooking;2
23029;3;531;784;24;Hooking;2
23029;3;1040;2931;7;Hooking;2
23029;3;1073;2369;24;Tripping;2
23031;1;842;678;16;Tripping;2
23031;1;857;1154;12;Tripping;2
23031;3;29;617;16;Tripping;2
23031;3;217;1209;1;Hooking;2
23031;3;921;1131;12;Holding;2
23024;1;85;1097;20;Interference;2
23024;1;763;772;20;Hooking;2
23024;2;617;1116;20;Tripping;2
23024;2;902;772;20;Tripping;2
23024;2;1075;1307;0;Hooking;2
23024;3;840;1262;0;High Sticking;2
23024;3;873;480;0;Illegal Check To Head;5
23024;3;873;480;0;Game Misconduct;10
23024;3;1176;343;0;Hooking;2
23038;1;1020;2378;23;Tripping;2
23038;2;127;405;23;Hooking;2
23038;3;196;780;15;Slashing;2
23095;1;168;1670;3;Roughing;2
23095;1;380;838;18;Roughing;2
23095;1;418;715;3;Tripping;2
23095;2;681;257;25;Slashing;2
23095;3;482;1289;18;Hooking;2
23095;3;727;257;25;Unsportmanlike Conduct;2
23095;3;1187;575;3;Roughing;2
23079;1;878;579;2;Hooking;2
23079;1;1135;962;1;Hooking;2
23079;1;1179;209;2;Hooking;2
23079;2;143;410;1;Tripping;2
23079;2;988;918;1;High Sticking;2
23079;2;1009;469;1;Hooking;2
23079;2;1156;2950;1;High Sticking;2
23079;3;3;832;5;Tripping;2
23103;1;742;291;25;Interference;2
23103;1;909;1393;13;Holding;2
23103;2;154;2096;13;Elbowing;2
23103;2;896;797;25;Fighting;5
23103;2;896;1744;13;Fighting;5
23103;2;971;816;25;Interference;2
23103;3;153;1393;13;Tripping;2
23103;3;450;407;25;Hooking;2
23082;1;142;1449;8;Tripping;2
23082;1;575;1432;6;Cross-Checking;2
23082;1;1090;733;6;Boarding;2
23082;1;1090;733;6;Misconduct;10
23082;2;86;1320;6;Tripping;2
23082;2;1158;1357;8;Hooking;2
23082;3;516;563;8;Holding;2
23019;1;9;548;21;Slashing;2
23019;1;9;548;21;Misconduct;10
23019;2;378;723;30;Roughing;2
23019;2;671;609;55;Roughing;2
23020;1;1138;1354;28;Tripping;2
23020;2;171;467;29;Interference;2
23020;2;171;467;29;Misconduct;10
23020;2;457;639;28;Slashing;2
23020;2;575;187;5;Holding;2
23020;2;1192;1027;5;Hooking;2
23016;1;57;851;29;Hooking;2
23016;1;689;1208;29;Interference;2
23016;3;296;1348;29;Hooking;2
23016;3;911;207;26;Interference;2
23016;3;921;237;26;High Sticking;2
23015;1;42;853;22;Holding;2
23015;1;363;1286;22;Boarding;2
23015;1;841;2719;22;Holding;2
23015;2;976;1171;27;High Sticking;2
23015;3;45;471;22;Holding;2
23015;3;45;471;22;Misconduct;10
23015;3;487;2778;27;Fighting;5
23015;3;487;2719;22;Fighting;5
23015;3;1153;788;27;Hooking;2
23017;1;203;369;4;Hooking;2
23017;1;216;307;4;Tripping;2
23017;1;959;1982;9;High Sticking;2
23017;2;190;2478;4;Slashing;2
23017;2;435;695;9;Holding;2
23017;3;617;1829;9;Holding The Stick;2
23017;3;1174;602;4;Hooking;2
23017;3;1189;202;4;Roughing;2
23096;1;362;1283;14;Delay of Game;2
23096;1;487;1283;14;Delay of Game;2
23096;2;13;570;14;Tripping;2
23096;2;501;1840;47;Hooking;2
23096;3;135;551;0;Holding;2
23018;1;5;1158;22;Hooking;2
23039;1;522;760;9;Illegal Check To Head;5
23039;1;522;760;9;Game Misconduct;10
23039;2;488;952;9;Tripping;2
23039;2;1107;110;9;Boarding;2
23039;3;201;1334;9;Tripping;2
23039;3;239;1441;23;Delay of Game;2
23039;3;264;300;18;Slashing;2
23039;3;314;110;9;Hooking;2
23037;1;380;1414;8;Hooking;2
23037;1;545;653;8;Delay of Game;2
23037;1;776;689;7;Hooking;2
23037;3;549;222;8;Goaltender Interference;2
23037;3;611;1445;8;Cross-Checking;2
23037;3;657;10;7;Tripping;2
23046;2;104;780;15;Hooking;2
23046;2;1143;816;25;Unsportmanlike Conduct;2
23046;3;252;1434;25;Cross-Checking;2
23046;3;557;2209;36;Fighting;5
23046;3;557;2371;15;Fighting;5
23046;3;911;780;15;Slashing;2
23064;1;22;1172;24;Tripping;2
23064;1;155;2247;24;Tripping;2
23064;1;189;98;10;Hooking;2
23064;2;509;1172;24;Interference;2
23064;2;582;625;10;Interference;2
23064;2;783;784;24;Slashing;2
23064;2;995;1265;24;Roughing;2
23064;3;27;2374;10;Elbowing;2
23064;3;30;646;24;Tripping;2
23064;3;43;655;10;Tripping;2
23064;3;408;275;24;Diving;2
23064;3;801;621;24;Hooking;2
23064;3;965;646;24;Tripping;2
23057;2;48;1408;23;Cross-Checking;2
23057;2;352;398;21;Hooking;2
23057;2;752;1942;21;Roughing;2
23057;3;177;398;21;Tripping;2
23057;3;195;1408;23;Interference;2
23057;3;472;1296;21;Roughing;2
23057;3;1014;36;21;Holding;2
23057;3;1030;405;23;Cross-Checking;2
23057;3;1172;719;23;Hooking;2
23057;3;1172;719;23;Misconduct;10
23021;1;184;946;30;Slashing;2
23026;1;100;590;6;Charging;2
23026;1;142;481;5;Hooking;2
23026;1;786;2498;5;Holding;2
23026;1;883;1320;6;Holding;2
23026;2;277;741;5;Tripping;2
23026;3;772;1176;6;Tripping;2
23026;3;986;1405;2;Slashing;2
23028;2;746;918;1;Goaltender Interference;2
23028;3;471;287;1;Interference;2
23027;1;436;1017;19;Holding;2
23027;1;527;716;19;Hooking;2
23027;1;792;739;27;Holding;2
23027;2;354;294;19;High Sticking;2
23027;2;881;528;18;Cross-Checking;2
23027;2;1071;2778;27;Boarding;2
23027;3;112;1171;27;Hooking;2
23034;2;393;1945;42;Boarding;2
23034;2;496;332;17;Cross-Checking;2
23034;3;139;1057;12;Hooking;2
23034;3;951;663;17;Tripping;2
23045;1;17;1081;3;Tripping;2
23045;1;737;715;3;Elbowing;2
23045;2;63;91;0;Slashing;2
23045;2;134;1310;4;Tripping;2
23045;2;368;1031;4;Goaltender Interference;2
23045;2;1123;750;4;Interference;2
23045;3;134;2627;4;High Sticking;2
23045;3;553;257;25;Tripping;2
23045;3;652;750;4;Tripping;2
23045;OT1;237;1328;4;Tripping;2
23073;1;61;752;10;Roughing;2
23073;1;102;794;26;Tripping;2
23073;1;148;799;10;Delay of Game;2
23073;1;563;201;10;Slashing;2
23073;2;964;550;26;Interference;2
23073;3;691;799;10;Delay of Game;2
23025;1;721;949;20;Tripping;2
23025;2;392;382;20;Roughing;2
23025;2;458;1228;16;High Sticking;2
23025;3;250;6;16;Delay of Game;2
23025;3;468;1398;20;Cross-Checking;2
23022;1;25;867;11;Tripping;2
23022;2;407;1771;29;Fighting;5
23022;2;407;1415;11;Fighting;5
23022;2;545;1342;11;Tripping;2
23022;2;1155;610;29;Slashing;2
23022;3;481;1415;11;Hooking;2
23022;3;872;1348;29;Hooking;2
23022;3;1074;468;11;Tripping;2
23092;1;772;618;19;Hooking;2
23092;2;621;1803;14;Cross-Checking;2
23092;2;851;845;61;Fighting;5
23092;2;851;2097;14;Fighting;5
23092;3;20;1017;19;High Sticking;2
23092;3;788;1283;14;Tripping;2
23092;3;1198;667;14;Boarding;2
23053;3;1183;1466;30;Roughing;2
23178;1;948;1351;16;Delay of Game;2
23178;2;500;632;28;Tripping;2
23178;2;821;1668;28;Roughing;2
23178;3;532;1217;28;Tripping;2
23032;2;461;416;17;Slashing;2
23032;3;149;1662;5;Interference;2
23032;3;154;612;5;High Sticking;2
23032;3;345;1027;5;Slashing;2
23036;1;259;2162;15;Hooking;2
23036;1;1011;1299;9;Holding;2
23036;2;216;1270;9;Tripping;2
23036;2;513;2482;15;Hooking;2
23036;3;367;1233;9;Boarding;2
23036;3;487;2482;15;High Sticking;2
23036;3;697;584;15;Cross-Checking;2
23036;3;908;1982;9;Hooking;2
24273;1;410;587;35;Tripping;2
24273;1;748;1366;23;Roughing;2
24273;2;897;2808;13;Slashing;2
24273;3;238;1132;13;Slashing;2
23076;1;117;121;0;Tripping;2
23076;1;133;287;1;High Sticking;2
23076;1;703;962;1;Interference;2
23076;3;1063;272;0;Holding;2
23507;1;1101;442;3;Boarding;2
23507;2;533;1464;7;Boarding;2
23507;2;1031;575;3;Holding;2
23507;3;126;994;3;Hooking;2
23507;3;327;2554;3;Unsportmanlike Conduct;2
23507;3;493;575;3;Hooking;2
23507;3;957;2554;3;Hooking;2
23507;3;1149;2931;7;Hooking;2
23186;1;184;1308;26;Tripping;2
23186;1;184;1308;26;Misconduct;10
23186;1;191;1859;2;Tripping;2
23186;1;943;392;2;Hooking;2
23186;2;356;794;26;Cross-Checking;2
23186;2;831;206;26;Tripping;2
23186;3;346;115;26;Tripping;2
23186;3;822;220;2;Charging;2
23068;1;94;1404;10;Roughing;2
23068;1;487;1041;21;Delay of Game;2
23068;1;527;924;21;Slashing;2
23068;1;1051;1942;21;Slashing;2
23068;2;87;2780;10;Holding The Stick;2
23068;2;564;693;10;Elbowing;2
23068;2;564;693;10;Misconduct;10
